"SYMBOL","ORDER_NO","STATEMENT_DATE","SELLING_GENERAL_AND_ADMINIST","EXTRAORDINARY_ITEMS","GROSS_PROFIT","EFFECT_OF_ACCOUNTING_CHANGES","OTHER_ITEMS","TOTAL_OPERATING_EXPENSES","TOTAL_OTHER_INCOM_TO_EXPEN_NET","PREFER_STOCK_AND_OTHER_ADJUSTM","INCOME_TAX_EXPENSE","TOTAL_REVENUE","NET_INCOME","COST_OF_REVENUE","RESEARCH_DEVELOPMENT","OTHERS","OPERATING_INCOME_OR_LOSS","DISCONTINUED_OPERATIONS","EARNIN_BEFORE_INTERE_AND_TAXES","INCOME_BEFORE_TAX","MINORITY_INTEREST","NET_INCOM_APPLI_TO_COMMO_SHARE","NON_RECURRING","INTEREST_EXPENSE","NET_INCOME_FROM_CONTINUING_OPS"
"AE",2,31-DEC-15,"9939","","31297","","","","327","","-770","1944279","-1275","1912982","","23717","-2359","","-2032","-2045","","-1275","","13","-1275"
"AEE",0,31-DEC-13,"458000","","2348000","","","","43000","","311000","5838000","295000","3490000","","706000","1184000","-223000","1227000","829000","142000","295000","","398000","518000"
"AEE",1,31-DEC-14,"468000","","2467000","","","","57000","","377000","6053000","592000","3586000","","745000","1254000","-1000","1311000","970000","142000","592000","","341000","593000"
"AEE",2,31-DEC-15,"542000","","2597000","","","","44000","","363000","6098000","636000","3501000","","796000","1259000","51000","1303000","948000","142000","636000","","355000","585000"
"AEGN",0,31-DEC-13,"174308","","247021","","","","5289","","12154","1091420","44351","844399","","","66882","-6461","72171","59002","17553","44351","5831","13169","52007"
"AEGN",1,31-DEC-14,"234105","","279983","","","","-3220","","-3840","1331421","-37167","1051438","","","-19812","-3847","-23032","-35975","18450","-37167","65690","12943","-31565"
"AEGN",2,31-DEC-15,"209477","","275787","","","","-2687","","9205","1333570","-8067","1057783","","","19946","","17259","1215","16531","-8067","46364","16044","-7990"
"AEGR",0,31-DEC-13,"76082","","43527","","","","-211","","347","48546","-63358","5019","29792","","-62347","","-62558","-63011","","-63358","","453","-63358"
"AEGR",1,31-DEC-14,"132715","","144003","","","","-2093","","899","158373","-39385","14370","37990","","-26702","","-28795","-38486","","-39385","","9691","-39385"
"AERI",2,31-DEC-15,"30635","","","","","","862","","139","","-74363","","44451","","-75086","","-74224","-74224","","-74363","","","-74363"
"AES",0,31-DEC-13,"220000","","3247000","","","","-30000","","343000","15891000","114000","12644000","","","2560000","-179000","2759000","1277000","3321000","114000","467000","1482000","730000"
"AES",1,31-DEC-14,"187000","","3088000","","","","401000","","419000","17146000","769000","14058000","","","2646000","-29000","3308000","1837000","3053000","769000","255000","1471000","1176000"
"AES",2,31-DEC-15,"196000","","2866000","","","","490000","","465000","14963000","306000","12097000","","","2068000","","2744000","1308000","3022000","306000","602000","1436000","762000"
"AET",0,31-DEC-13,"8744400","","12147200","","","","86000","","1028600","47294600","1913600","35147400","","214600","3188200","","3274200","2940500","52700","1913600","","333700","1911900"
"AET",1,31-DEC-14,"10837700","","15091500","","","","-181200","","1454700","58003200","2040800","42911700","","243400","4010400","","3829200","3499900","69200","2040800","","329300","2045200"
"AET",2,31-DEC-15,"11649300","","16503900","","","","","","1841000","60336500","2390200","43832600","","255400","4599200","","4599200","4235600","64300","2390200","","363600","2394600"
"AETI",0,31-DEC-13,"7506","","11167","","","","","-342","713","59239","4551","48072","499","","3162","-709","5919","5973","","4209","","-54","5260"
"AETI",1,31-DEC-14,"8083","","4995","","","","","-345","-334","57254","-4727","52259","807","","-3895","-2673","-2223","-2388","","-5072","","165","-2054"
"AETI",2,31-DEC-15,"8162","","6590","","","","","-349","428","49083","-2593","42493","769","","-2341","","-1993","-2165","","-2942","","172","-2593"
"AEY",0,30-SEP-13,"5813","","8709","","","","","","1098","28677","1670","19968","","","2896","-102","2896","2870","","1670","","26","1772"
"AEY",1,30-SEP-14,"10508","","11605","","","","","","220","35889","-7","24283","","","1097","-666","1097","879","","-7","","218","659"
"AEY",2,30-SEP-15,"12723","","15299","","","","","","773","43734","1498","28435","","","2576","","2576","2271","","1498","","305","1498"
"AEZS",0,31-DEC-13,"12316","","6124","","","","1748","","","6175","6815","51","21284","","-27476","34055","-25728","-27240","","6815","","1512","-27240"
"AEZS",1,31-DEC-14,"13690","","11","","","","20319","","111","11","-16564","","23716","","-37395","623","-17076","-17076","","-16564","","","-17187"
"AEZS",2,31-DEC-15,"18195","","545","","","","305","","","545","-50143","","17234","","-34884","85","-34579","-50228","","-50143","","15649","-50228"
"AF",0,31-DEC-13,"287531","","","","","","-4266","-7214","37749","588002","66593","62617","","19601","","","218253","104342","","59379","","113911","66593"
"AF",1,31-DEC-14,"284410","","","","","","","-8775","26279","547198","95916","51355","","-9469","","","220902","122195","","87141","","98707","95916"
"AF",2,31-DEC-15,"289083","","","","","","","-8775","29799","528012","88075","37343","","-12072","","","213658","117874","","79300","","95784","88075"
"AFAM",0,31-DEC-13,"151571","","166364","","","","","","6020","356912","8226","190548","","","14793","-558","14793","14626","-186","8226","","167","8606"
"AFAM",1,31-DEC-14,"207358","","231835","","","","","","9511","495829","13763","263994","","","24477","","24477","23035","-420","13763","","1442","13524"
"AFAM",2,01-JAN-16,"218269","","250372","","","","","","10556","532214","20009","281842","","","32103","","32103","30097","-730","20009","","2006","19541"
"AFCO",0,31-DEC-13,"518","","2571","","","","487","","","5716","553","3144","","1265","357","","844","834","20467","553","431","10","553"
"AFCO",1,31-DEC-14,"679","","3381","","","","50","","","7261","711","3880","","1531","1126","","1176","1057","20562","711","45","119","711"
"AFCO",2,31-DEC-15,"12142","","5670","","","","-28","","166","10149","-7875","4479","","2027","-8499","","-8527","-9122","26397","-7875","","595","-7875"
"AFG",0,31-DEC-13,"","","1353000","","","","","","236000","5103000","471000","3750000","","593000","689000","","760000","689000","170000","471000","","71000","453000"
"AFG",1,31-DEC-14,"","","1255000","","","","","","220000","5733000","452000","4478000","","556000","626000","","699000","626000","175000","452000","","73000","406000"
"AFG",2,31-DEC-15,"","","1267000","","","","","","195000","6145000","352000","4878000","","628000","565000","","639000","565000","178000","352000","","74000","370000"
"AFH",0,31-DEC-13,"","","17160","","","","","1181","72","74027","6180","56867","","10373","6252","","6381","6252","","7361","406","129","6180"
"AFH",1,31-DEC-14,"","","26677","","","","","-94","-5767","101618","17702","74941","","14048","11935","","11935","11935","","17608","694","","17702"
"AFH",2,31-DEC-15,"","","43532","","","","","-276","7616","156851","14430","113319","","18907","22046","","22684","22046","","14154","1941","638","14430"
"AFL",0,31-DEC-13,"","","8598000","","","","","","1658000","23939000","3158000","15341000","","3489000","4816000","","5109000","4816000","","3158000","","293000","3158000"
"AFL",1,31-DEC-14,"","","8355000","","","","","","1540000","22728000","2951000","14373000","","3547000","4491000","","4808000","4491000","","2951000","","317000","2951000"
"AFL",2,31-DEC-15,"","","7823000","","","","","","1329000","20872000","2533000","13049000","","3672000","3862000","","4151000","3862000","","2533000","","289000","2533000"
"AFMD",0,31-DEC-13,"8868","","7010","","","","","","-1","7010","-35963","","19779","","-21638","","-35965","-35965","","-35963","","","-35963"
"AFMD",1,31-DEC-14,"2378","","4092","","","","","","-201","4092","-313","","11610","","-9896","","-514","-514","","-313","","","-313"
"AFMD",2,31-DEC-15,"7492","","8215","","","","","","","8215","-21986","","23907","","-23185","","-21986","-21986","","-21986","","","-21986"
"AFSI",0,31-DEC-13,"","","647372","","","","45982","-3989","98019","2697895","282226","2050523","","291617","355755","","367046","367046","137860","278237","","","269027"
"AFSI",1,31-DEC-14,"","","884789","","","","69351","-12738","53686","4084331","447014","3199542","","436350","448439","","471933","471933","159181","434276","","","418247"
"AFSI",2,31-DEC-15,"","","1002630","","","","63659","-31590","66341","4664340","503594","3661710","","466759","535871","","551478","551478","176455","472004","","","485137"
"AG",0,31-DEC-13,"39373","","135655","","","","5048","","64425","251313","-38232","115658","","43876","22689","","28663","26193","","-38232","28791","2470","-38232"
"AG",1,31-DEC-14,"26713","","90630","","","","24939","","-19489","245473","-61448","154843","","60466","-92187","","-73560","-80937","","-61448","101950","7377","-61448"
"AG",2,31-DEC-15,"21930","","83770","","","","3232","","-17828","219444","-108424","135674","","75039","-120408","","-120442","-126252","","-108424","110475","5810","-108424"
"AGCO",0,31-DEC-13,"1088700","","2390600","","","","-40100","","258500","10786900","597200","8396300","353400","47800","900700","","860600","802600","34600","597200","","58000","597200"
"AGCO",1,31-DEC-14,"995400","","2066300","","","1419800","-49100","","187700","9723700","410400","7657400","337000","41000","646500","","597400","539000","48400","410400","46400","58400","410400"
"AGCO",2,31-DEC-15,"852300","","1560600","","","1199500","-36300","","72500","7467300","266400","5906700","282200","42700","361100","","324800","279400","45000","266400","22300","45400","266400"
"AGEN",0,31-DEC-13,"14484","","2509","","","","-2673","-3160","","3045","-30073","536","13005","","-24980","","-27653","-30073","","-33232","","2420","-30073"
"AGEN",1,31-DEC-14,"27949","","6977","","","","2096","-204","","6977","-42486","","22349","","-43321","","-41225","-42486","","-42690","","1262","-42486"
"AGEN",2,31-DEC-15,"35074","","24817","","","","-5968","-203","-5387","24817","-87881","","70444","","-80701","","-86669","-93268","","-88084","","6599","-87881"
"AGFS",0,31-DEC-13,"29153","","129359","","","","","","25141","158789","27456","29430","17837","29767","52602","","52602","52597","","27456","","5","27456"
"AGFS",1,31-DEC-14,"31534","","149849","","","","","","41399","180508","27857","30659","19399","29656","69260","","69260","69256","","27857","","4","27857"
"AGFS",2,31-DEC-15,"24399","","61381","","","","-403","","-8383","163763","-28494","102382","16855","33399","-13272","","-13675","-36877","","-28494","","23202","-28494"
"AGI",0,31-DEC-13,"25143","","127349","","","","-14231","","40712","282187","38792","154838","","","94647","","80416","79504","","38792","7559","912","38792"
"AGI",1,31-DEC-14,"25900","","-30200","","","","-30000","","-29000","288300","-169600","318500","","","-148700","","-178700","-198600","","-169600","92600","19900","-169600"
"AGI",2,31-DEC-15,"65000","","-28900","","","","-41900","","-49800","355100","-508900","384000","","","-492600","","-534500","-558700","","-508900","398700","24200","-508900"
"AGII",0,31-DEC-13,"","","222300","","","","1700","","36500","1475100","143200","1252800","","24100","179700","","199900","179700","","143200","","20200","143200"
"AGII",1,31-DEC-14,"","","232100","","","","7800","","32800","1518700","183200","1286600","","600","216000","","235900","216000","","183200","3400","19900","183200"
"AGII",2,31-DEC-15,"","","178900","","","","18300","","14300","1484600","163200","1305700","","700","177500","","196500","177500","","163200","","19000","163200"
"AEGR",2,31-DEC-15,"187879","","187555","","","","1221","","1769","239887","-73339","52332","44862","","-45186","","-43965","-71570","","-73339","","27605","-73339"
"AEHR",0,31-MAY-13,"6872","","6776","","","","-33","","30","16488","-3419","9712","3211","","-3307","","-3340","-3389","-20","-3419","","49","-3419"
"AEHR",1,31-MAY-14,"6323","","10222","","","","-64","","-15","19684","422","9462","3402","","497","","433","407","-21","422","","26","422"
"AEHR",2,31-MAY-15,"6470","","3838","","","","211","","34","10018","-6647","6180","4062","","-6694","","-6483","-6613","-18","-6647","","130","-6647"
"AEIS",0,31-DEC-13,"57334","","145593","","","97746","77","","-11388","299381","32086","153788","35383","850","47847","-27624","48322","48322","","32086","4179","","59710"
"AEIS",1,31-DEC-14,"58549","","188060","","","101969","390","","16510","367333","46982","179273","36915","4998","86091","-22513","86005","86005","","46982","1507","","69495"
"AEIS",2,31-DEC-15,"66097","","216870","","","110214","-334","","21960","414811","-158486","197941","39551","4368","106656","-241968","105442","105442","","-158486","198","","83482"
"AEL",0,31-DEC-13,"","","1284754","","","","-166483","","136049","2610692","253283","1325938","","710496","389332","","440290","389332","","253283","","50958","253283"
"AEL",1,31-DEC-14,"","","653458","","","","-44823","","70041","2168973","126023","1515515","","376581","196064","","244556","196064","","126023","","48492","126023"
"AEL",2,31-DEC-15,"","","505426","","","","464698","","117484","1518937","219830","1013511","","591722","337314","","378402","337314","","219830","","41088","219830"
"AEM",0,31-DEC-13,"113809","","728088","","","","-5359","","-131582","1638406","-686705","910318","","313890","-750473","","-755832","-818287","","-686705","1050862","62455","-686705"
"AEM",1,31-DEC-14,"118771","","836205","","","","2702","","106168","1896766","82970","1060561","","433628","259829","","262531","189138","","82970","23977","73393","82970"
"AEM",2,31-DEC-15,"96973","","879784","","","","-2308","","58045","1985432","24583","1105648","","608609","160164","","157856","82628","","24583","14038","75228","24583"
"AEMD",0,31-MAR-13,"4805","","1230","","","","-184","","","1230","-4892","","","","-3575","","-3760","-4892","","-4892","","1132","-4892"
"AEMD",1,31-MAR-14,"4680","","1624","","","","-9096","","","1624","-13357","","","","-3056","","-12152","-13439","218","-13357","","1287","-13357"
"AEMD",2,31-MAR-15,"4755","","762","","","","-2534","","","762","-6797","","","","-3993","","-6527","-6979","36","-6797","","452","-6797"
"AEO",0,01-FEB-14,"796505","","1113999","","","","1022","","59094","3305802","82983","2191803","","131974","141055","","142077","142077","","82983","44465","","82983"
