"SYMBOL","ORDER_NO","STATEMENT_DATE","SELLING_GENERAL_AND_ADMINIST","EXTRAORDINARY_ITEMS","GROSS_PROFIT","EFFECT_OF_ACCOUNTING_CHANGES","OTHER_ITEMS","TOTAL_OPERATING_EXPENSES","TOTAL_OTHER_INCOM_TO_EXPEN_NET","PREFER_STOCK_AND_OTHER_ADJUSTM","INCOME_TAX_EXPENSE","TOTAL_REVENUE","NET_INCOME","COST_OF_REVENUE","RESEARCH_DEVELOPMENT","OTHERS","OPERATING_INCOME_OR_LOSS","DISCONTINUED_OPERATIONS","EARNIN_BEFORE_INTERE_AND_TAXES","INCOME_BEFORE_TAX","MINORITY_INTEREST","NET_INCOM_APPLI_TO_COMMO_SHARE","NON_RECURRING","INTEREST_EXPENSE","NET_INCOME_FROM_CONTINUING_OPS"
"TSCO",2,26-DEC-15,"1369097","","2143174","","","","","","237222","6226507","410395","4083333","","123569","650508","","650508","647617","","410395","","2891","410395"
"UTL",0,31-DEC-13,"15000","","107000","","","","-400","","12700","366900","21600","259900","","38500","53500","","53100","34300","","21600","","18800","21600"
"UTL",1,31-DEC-14,"17200","","119300","","","","-400","","14000","425800","24700","306500","","42100","60000","","59600","38700","","24700","","20900","24700"
"UTL",2,31-DEC-15,"17700","","126500","","","","500","","15400","426800","26300","300300","","45700","63100","","63600","41700","","26300","","21900","26300"
"UTMD",0,31-DEC-13,"8954","","24273","","","","86","","3070","40493","11406","16220","491","","14828","","14914","14476","","11406","","438","11406"
"UTMD",1,31-DEC-14,"8321","","24983","","","","-101","","4434","41278","11378","16295","460","","16202","","16101","15812","","11378","","289","11378"
"UTMD",2,31-DEC-15,"8012","","24185","","","","-41","","3702","40157","11843","15972","522","","15651","","15610","15545","","11843","","65","11843"
"UTSI",0,31-DEC-13,"37626","","40220","","","","1284","","2351","164439","-22721","124219","14520","","-13233","","-20228","-20379","","-22721","","151","-32307"
"UTSI",1,31-DEC-14,"24515","","22128","","","","-5607","","1618","129420","-30264","107292","11686","","-14073","","-28558","-28646","","-30264","","88","-39142"
"UTSI",2,31-DEC-15,"21515","","27868","","","","-5800","","-4162","117103","-20657","89235","11342","","-4989","","-24743","-24819","","-20657","","76","-34611"
"UTX",0,31-DEC-13,"5241000","","16132000","","","","","","1999000","56600000","5721000","40468000","2342000","","8549000","456000","8549000","7654000","1353000","5721000","","895000","5265000"
"UTX",1,31-DEC-14,"4934000","","17002000","","","","","","2244000","57900000","6220000","40898000","2475000","","9593000","154000","9593000","8712000","1351000","6220000","","881000","6066000"
"UTX",2,31-DEC-15,"6097000","","15667000","","","","","","2111000","56098000","7608000","40431000","2279000","","7291000","3612000","7291000","6467000","1486000","7608000","","824000","3996000"
"UUU",0,31-MAR-13,"5010","","4341","","","","90","","54","15384","-453","11042","543","","-1212","","-1122","-1122","","-453","","","-453"
"UUU",1,31-MAR-14,"4251","","2841","","","","23","","2311","12577","-4450","9736","592","","-2003","","-1979","-1979","","-4450","","","-4450"
